year,n_valid,coupled_high_n,coupled_low_n,type_i_n,type_ii_n,coupled_high_pct,coupled_low_pct,type_i_pct,type_ii_pct,decoupled_pct
1985,11500,10518,691,105,186,91.46,6.01,0.91,1.62,2.53
1986,11500,10440,742,131,187,90.78,6.45,1.14,1.63,2.77
1987,11500,10368,805,139,188,90.16,7.0,1.21,1.63,2.84
1988,11500,10272,861,150,217,89.32,7.49,1.3,1.89,3.19
1989,11500,10193,918,166,223,88.63,7.98,1.44,1.94,3.38
1990,11500,10115,987,180,218,87.96,8.58,1.57,1.9,3.46
1991,11500,10025,1032,196,247,87.17,8.97,1.7,2.15,3.85
1992,11500,9915,1128,204,253,86.22,9.81,1.77,2.2,3.97
1993,11500,9799,1215,215,271,85.21,10.57,1.87,2.36,4.23
1994,11500,9673,1318,217,292,84.11,11.46,1.89,2.54,4.43
1995,11500,9519,1425,256,300,82.77,12.39,2.23,2.61,4.83
1996,11500,9360,1559,273,308,81.39,13.56,2.37,2.68,5.05
1997,11500,9227,1703,269,301,80.23,14.81,2.34,2.62,4.96
1998,11500,9065,1816,293,326,78.83,15.79,2.55,2.83,5.38
1999,11500,8898,1952,312,338,77.37,16.97,2.71,2.94,5.65
2000,11500,8776,2052,325,347,76.31,17.84,2.83,3.02,5.84
2001,11500,8692,2143,314,351,75.58,18.63,2.73,3.05,5.78
2002,11500,8576,2263,319,342,74.57,19.68,2.77,2.97,5.75
2003,11500,8371,2411,348,370,72.79,20.97,3.03,3.22,6.24
2004,11500,8208,2567,356,369,71.37,22.32,3.1,3.21,6.3
2005,11500,8087,2669,362,382,70.32,23.21,3.15,3.32,6.47
2006,11500,7999,2748,370,383,69.56,23.9,3.22,3.33,6.55
2007,11500,7911,2809,390,390,68.79,24.43,3.39,3.39,6.78
2008,11500,7830,2897,377,396,68.09,25.19,3.28,3.44,6.72
2009,11500,7772,2946,380,402,67.58,25.62,3.3,3.5,6.8
2010,11500,7708,2989,396,407,67.03,25.99,3.44,3.54,6.98
2011,11500,7655,3046,389,410,66.57,26.49,3.38,3.57,6.95
2012,11500,7575,3098,408,419,65.87,26.94,3.55,3.64,7.19
2013,11500,7501,3164,408,427,65.23,27.51,3.55,3.71,7.26
2014,11500,7416,3239,411,434,64.49,28.17,3.57,3.77,7.35
2015,11500,7335,3310,424,431,63.78,28.78,3.69,3.75,7.43
2016,11500,7283,3356,428,433,63.33,29.18,3.72,3.77,7.49
2017,11500,7228,3408,435,429,62.85,29.63,3.78,3.73,7.51
2018,11500,7189,3427,430,454,62.51,29.8,3.74,3.95,7.69
2019,11500,7124,3489,437,450,61.95,30.34,3.8,3.91,7.71
2020,11500,7053,3558,450,439,61.33,30.94,3.91,3.82,7.73
2021,11500,6952,3627,468,453,60.45,31.54,4.07,3.94,8.01
2022,11500,6849,3721,473,457,59.56,32.36,4.11,3.97,8.09
2023,11500,6718,3845,485,452,58.42,33.43,4.22,3.93,8.15
2024,11500,6623,3916,488,473,57.59,34.05,4.24,4.11,8.36
