analysis,config_id,year,n_cells,eii_mean,eii_sd,eii_cv,area_mean,area_sd
shape/scale,HEX-10,1985,22842,0.8586,0.1942,0.2262,0.8588,0.1977
shape/scale,HEX-10,2020,22842,0.6439,0.2836,0.4405,0.6437,0.289
shape/scale,HEX-20,1985,11500,0.8584,0.1865,0.2172,0.8586,0.1898
shape/scale,HEX-20,2020,11500,0.6421,0.2737,0.4262,0.6438,0.2779
shape/scale,HEX-40,1985,5822,0.8581,0.1794,0.2091,0.858,0.1832
shape/scale,HEX-40,2020,5822,0.6458,0.2622,0.4059,0.6442,0.2679
shape/scale,SQ-20,1985,11449,0.8575,0.1859,0.2168,0.8577,0.1905
shape/scale,SQ-20,2020,11449,0.6415,0.2726,0.4249,0.6431,0.2781
jitter,JITTER_E_1-2,1985,11500,0.8586,0.1858,0.2164,0.8581,0.1903
jitter,JITTER_E_1-2,2020,11500,0.6441,0.2734,0.4244,0.6433,0.2779
jitter,JITTER_E_1-3,1985,11500,0.858,0.1867,0.2176,0.8583,0.19
jitter,JITTER_E_1-3,2020,11500,0.6426,0.2736,0.4258,0.6435,0.2781
jitter,JITTER_E_1-6,1985,11500,0.8585,0.1865,0.2172,0.8584,0.1898
jitter,JITTER_E_1-6,2020,11500,0.642,0.2733,0.4257,0.6436,0.2781
jitter,JITTER_NE_1-2,1985,11500,0.8586,0.186,0.2166,0.8593,0.1891
jitter,JITTER_NE_1-2,2020,11500,0.643,0.2732,0.4248,0.6442,0.2779
jitter,JITTER_NE_1-3,1985,11500,0.8589,0.1861,0.2167,0.8591,0.1894
jitter,JITTER_NE_1-3,2020,11500,0.6428,0.2736,0.4257,0.6441,0.278
jitter,JITTER_NE_1-6,1985,11500,0.8584,0.1873,0.2182,0.8588,0.1896
jitter,JITTER_NE_1-6,2020,11500,0.6426,0.2729,0.4246,0.644,0.278
jitter,JITTER_NW_1-2,1985,11500,0.8597,0.1848,0.215,0.86,0.189
jitter,JITTER_NW_1-2,2020,11500,0.6461,0.2729,0.4224,0.6451,0.278
jitter,JITTER_NW_1-3,1985,11500,0.86,0.1849,0.215,0.8595,0.1895
jitter,JITTER_NW_1-3,2020,11500,0.645,0.2728,0.4229,0.6446,0.2779
jitter,JITTER_NW_1-6,1985,11500,0.8591,0.186,0.2165,0.8591,0.1898
jitter,JITTER_NW_1-6,2020,11500,0.6443,0.2726,0.423,0.6442,0.2779
jitter,JITTER_N_1-2,1985,11500,0.8599,0.185,0.2151,0.8601,0.1885
jitter,JITTER_N_1-2,2020,11500,0.6446,0.2725,0.4227,0.6449,0.2778
jitter,JITTER_N_1-3,1985,11500,0.8587,0.1859,0.2165,0.8596,0.1892
jitter,JITTER_N_1-3,2020,11500,0.6442,0.2727,0.4233,0.6445,0.2779
jitter,JITTER_N_1-6,1985,11500,0.8591,0.1857,0.2162,0.8591,0.1896
jitter,JITTER_N_1-6,2020,11500,0.6446,0.2723,0.4225,0.6442,0.2779
jitter,JITTER_SE_1-2,1985,11500,0.857,0.1875,0.2188,0.8571,0.191
jitter,JITTER_SE_1-2,2020,11500,0.6426,0.2734,0.4254,0.6426,0.2782
jitter,JITTER_SE_1-3,1985,11500,0.8582,0.1866,0.2174,0.8576,0.1904
jitter,JITTER_SE_1-3,2020,11500,0.6435,0.2729,0.4241,0.643,0.2782
jitter,JITTER_SE_1-6,1985,11500,0.8581,0.1862,0.217,0.8581,0.1899
jitter,JITTER_SE_1-6,2020,11500,0.6429,0.2725,0.4238,0.6434,0.2781
jitter,JITTER_SW_1-2,1985,11500,0.8577,0.1877,0.2189,0.8577,0.191
jitter,JITTER_SW_1-2,2020,11500,0.6442,0.2728,0.4235,0.6434,0.2784
jitter,JITTER_SW_1-3,1985,11500,0.858,0.1876,0.2187,0.858,0.1904
jitter,JITTER_SW_1-3,2020,11500,0.6452,0.2724,0.4221,0.6435,0.2781
jitter,JITTER_SW_1-6,1985,11500,0.8588,0.1866,0.2172,0.8583,0.19
jitter,JITTER_SW_1-6,2020,11500,0.6443,0.272,0.4222,0.6437,0.278
jitter,JITTER_S_1-2,1985,11500,0.8566,0.1882,0.2197,0.8569,0.1915
jitter,JITTER_S_1-2,2020,11500,0.6424,0.2732,0.4252,0.6426,0.2785
jitter,JITTER_S_1-3,1985,11500,0.8583,0.1872,0.2181,0.8575,0.1907
jitter,JITTER_S_1-3,2020,11500,0.6439,0.2721,0.4226,0.643,0.2783
jitter,JITTER_S_1-6,1985,11500,0.8586,0.1865,0.2172,0.858,0.1901
jitter,JITTER_S_1-6,2020,11500,0.6429,0.2719,0.4228,0.6434,0.2781
jitter,JITTER_W_1-2,1985,11500,0.8581,0.1871,0.218,0.859,0.1898
jitter,JITTER_W_1-2,2020,11500,0.6438,0.2739,0.4254,0.6444,0.2784
jitter,JITTER_W_1-3,1985,11500,0.8596,0.1863,0.2168,0.8589,0.1899
jitter,JITTER_W_1-3,2020,11500,0.6454,0.2732,0.4232,0.6442,0.2781
jitter,JITTER_W_1-6,1985,11500,0.8589,0.1864,0.217,0.8588,0.19
jitter,JITTER_W_1-6,2020,11500,0.6444,0.2731,0.4238,0.644,0.278
jitter,JITTER_original,1985,11500,0.8584,0.1865,0.2172,0.8586,0.1898
jitter,JITTER_original,2020,11500,0.6421,0.2737,0.4262,0.6438,0.2779
